GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
Geography,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars),Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Families!!Total,Margin of Error!!Families!!Total,"Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more",Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families!!Mean income (dollars),Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Married-couple families!!Total,Margin of Error!!Married-couple families!!Total,"Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more",Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Margin of Error!!Married-couple families!!Mean income (dollars),Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Nonfamily households!!Total,Margin of Error!!Nonfamily households!!Total,"Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more",Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households!!Mean income (dollars),Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months
860Z200US14001,ZCTA5 14001,3994,253,2.6,1.8,2.5,1.9,10,4.9,6,2.3,14.5,4.2,15.7,4,16,4.2,19.2,4.1,6.5,2.5,6.9,3.4,73786,7881,88777,8829,34.9,(X),(X),(X),(X),(X),2475,178,0.4,0.6,0.9,1.4,2.7,2,2.9,2,10.1,5.2,16.2,5.3,21.3,5.8,26.3,5.8,8.1,3.1,11.2,5.3,95152,11414,113323,10829,(X),(X),30.1,(X),(X),(X),1987,193,0.5,0.7,0,2,0.7,0.8,1.4,1.4,7.5,5.4,16.3,6.2,21.9,7.1,29.9,6.9,10,4,11.8,6.4,104946,15097,N,N,(X),(X),(X),(X),(X),(X),1519,251,6.3,4.6,6.5,5,22.6,10.7,10,4.6,22.3,7.7,14.3,6.2,9,6.3,5.7,3.3,3.4,3.9,0,2.6,36780,4327,46046,7083,(X),(X),(X),(X),41.8,(X)
860Z200US14004,ZCTA5 14004,4235,280,1.9,1.3,3.7,2.3,2.9,1.1,10.5,4.4,8.9,2.3,16.9,4.1,13.3,2.7,26.3,4.8,9.8,3.6,5.8,2.4,88011,9577,99244,12277,35.8,(X),(X),(X),(X),(X),3112,241,1,1.3,0.9,1,1.3,1.1,9.3,5.6,6.7,2.7,12.7,4.4,14.5,3,34.4,6.8,12.2,4.5,7,2.9,103495,11331,108607,8194,(X),(X),34.4,(X),(X),(X),2648,263,0.1,0.2,0.6,0.9,1.3,1.3,8.5,6.3,4.5,2.3,12.6,4.6,14.5,3.3,36.4,7,13.3,5.1,8.2,3.4,110548,12521,N,N,(X),(X),(X),(X),(X),(X),1123,217,6.6,4.4,11.7,8.4,7.3,3.5,13.6,6.2,14.8,4.8,26.5,10.9,11.1,5.6,5.1,3.3,1.7,2.3,1.6,2.2,42773,13602,69380,33646,(X),(X),(X),(X),39.2,(X)
860Z200US14006,ZCTA5 14006,4153,295,6.7,3.2,5.5,3.2,7.7,2.2,7.2,2.4,11.8,3.1,18.2,4.1,18.4,5.1,16.6,3.5,4.5,2.1,3.3,1.6,62019,8320,74015,5938,37,(X),(X),(X),(X),(X),2610,231,2.6,2.5,2.3,1.9,5.5,3,4.4,2.5,12.7,4.3,19.6,4.8,23.2,7.2,19.5,5.2,5.1,2.7,5.2,2.4,77575,6277,87291,6812,(X),(X),41.3,(X),(X),(X),1750,175,3.4,3.4,0.6,0.9,1.2,1.3,1.4,1.3,12.4,5.5,19.8,5.9,22.7,7.4,24.3,6.9,6.9,3.8,7.3,3.7,85069,9231,N,N,(X),(X),(X),(X),(X),(X),1543,253,15.2,7.9,11.1,7.7,11.7,4.1,11.9,5.1,12.3,4.8,15.8,6.4,10.4,4.2,9,3.6,2.3,2.2,0.3,0.6,35391,13860,47959,7317,(X),(X),(X),(X),26.3,(X)
860Z200US14025,ZCTA5 14025,1529,220,2.4,2.3,0.8,1.2,7.1,7.6,1.6,1.6,4.4,3.4,10,4.5,15.2,6.9,28,10.2,20.5,10.2,10,4.9,109542,9774,125180,15811,24.6,(X),(X),(X),(X),(X),1122,211,2.4,2.8,0,3.5,0.9,1.5,0,3.5,5.1,6.5,3.6,2.5,17.8,9.4,31.1,11.9,26.2,12.9,12.9,6.8,122619,32957,146557,17048,(X),(X),26.9,(X),(X),(X),985,216,2.7,3.2,0,4,1,1.8,0,4,0.8,1.3,3.7,2.6,17.2,9.9,31.3,12.4,28.6,14.2,14.7,8,139014,31056,N,N,(X),(X),(X),(X),(X),(X),407,157,2.2,3.5,2.9,4.7,24.3,23,5.9,6.1,14.7,11.9,27.8,16.2,8.1,9.9,7.4,6.6,4.7,5.3,2,3.5,49911,24335,58362,15241,(X),(X),(X),(X),18.2,(X)
860Z200US14026,ZCTA5 14026,307,100,0,12.2,4.6,7.9,0,12.2,11.4,13.8,0,12.2,21.8,17.2,20.5,16.5,26.1,17.6,15.6,19.1,0,12.2,86023,22220,92267,22227,26.7,(X),(X),(X),(X),(X),151,79,0,23,0,23,0,23,7.9,13.4,0,23,26.5,31.4,14.6,16.2,19.2,21.1,31.8,33.2,0,23,100341,80203,109849,33525,(X),(X),30.5,(X),(X),(X),129,78,0,26.2,0,26.2,0,26.2,9.3,15.3,0,26.2,14,24,17.1,19.3,22.5,25,37.2,35.9,0,26.2,130208,88202,N,N,(X),(X),(X),(X),(X),(X),156,77,0,22.4,9,15.7,0,22.4,14.7,23.2,0,22.4,31.4,24.3,12.2,19.1,32.7,31.2,0,22.4,0,22.4,64412,50212,71129,24165,(X),(X),(X),(X),23.1,(X)
860Z200US14027,ZCTA5 14027,57,31,0,43.6,0,43.6,0,43.6,0,43.6,47.4,46.8,0,43.6,8.8,14,0,43.6,10.5,14.6,33.3,47,-,**,114305,81466,33.3,(X),(X),(X),(X),(X),24,30,0,67.2,0,67.2,0,67.2,0,67.2,20.8,49.3,0,67.2,0,67.2,0,67.2,0,67.2,79.2,49.3,-,**,N,N,(X),(X),79.2,(X),(X),(X),24,30,0,67.2,0,67.2,0,67.2,0,67.2,20.8,49.3,0,67.2,0,67.2,0,67.2,0,67.2,79.2,49.3,-,**,N,N,(X),(X),(X),(X),(X),(X),33,30,0,57.3,0,57.3,0,57.3,0,57.3,66.7,39.1,0,57.3,15.2,27.8,0,57.3,18.2,29.4,0,57.3,-,**,69058,41152,(X),(X),(X),(X),0,(X)
860Z200US14030,ZCTA5 14030,743,99,7,4.9,1.7,1.8,4.4,4.3,1.9,1.7,21.8,9.3,6.2,3.8,24.4,9.8,12.7,5.1,10.9,5.7,9,7,84792,20869,90221,13877,41.2,(X),(X),(X),(X),(X),493,90,4.5,6.8,0.8,1.7,4.9,5.1,0.6,1.4,14.8,8.6,4.7,3.7,27.6,13.2,15,7.2,13.6,7.9,13.6,9.8,94205,10885,106493,18000,(X),(X),37.3,(X),(X),(X),410,90,0,9.3,1,2,1,1.8,0.7,1.7,13.2,10.2,5.6,4.4,31.2,15.9,14.6,7.9,16.3,9.6,16.3,11.2,98167,26696,N,N,(X),(X),(X),(X),(X),(X),250,93,20.8,12.8,3.6,4.3,11.6,11.6,4.4,4.7,29.2,16.8,9.2,8.4,10.8,11.9,7.6,5,2.8,3.7,0,14.7,36622,6648,46361,10243,(X),(X),(X),(X),48.8,(X)
860Z200US14031,ZCTA5 14031,4129,414,1.1,1.1,3.6,2.2,6.6,3.2,5.5,3.3,7.8,3.5,15.3,6.4,10.2,3.4,15.4,4.7,14.2,4.8,20.3,3.8,99639,13890,147490,17201,32.4,(X),(X),(X),(X),(X),2616,344,0.3,0.5,1.5,2.2,2.7,2.8,3.9,4.1,3.2,2,9.6,3.4,10,3.7,17.7,7.1,21.3,6.8,29.7,5.9,154048,25379,189235,23133,(X),(X),34.7,(X),(X),(X),2239,305,0.4,0.6,1.8,2.5,2.5,3.1,4.2,4.6,3.3,2.1,8.9,3.6,8.9,4,13.8,5.2,24,7.4,32.2,6.6,159295,8460,N,N,(X),(X),(X),(X),(X),(X),1513,354,2.5,2.8,7.3,4.7,13.4,7.9,8.2,5.6,15.7,7.8,25.2,13.6,11.7,6.3,10.2,5.9,3.2,3,2.6,2.5,57980,17724,72441,16826,(X),(X),(X),(X),28.5,(X)
860Z200US14032,ZCTA5 14032,3786,486,1.9,1.9,2.7,3,1.5,1.2,3,1.9,3.1,1.6,7.1,3.4,7.2,2.7,20.4,6.6,18.7,5.8,34.4,7.4,160079,22362,199315,19603,34.8,(X),(X),(X),(X),(X),2961,370,0.2,0.4,3.1,3.8,0.5,0.8,1.2,1.3,1.9,1.5,7.5,4.4,5.3,2.6,21.6,7.8,23.7,7.1,34.9,7,169566,17779,204016,20565,(X),(X),34.1,(X),(X),(X),2631,345,0.3,0.4,2.6,4.2,0,1.5,1.4,1.5,1.3,1.3,5.3,3.2,4.8,2.5,20.2,7.9,24.9,7.5,39.3,8,178497,10629,N,N,(X),(X),(X),(X),(X),(X),825,379,8,8,1.1,2,5.1,5.8,9.1,7.9,7.5,6.5,6.7,6.6,14.2,11.1,16.5,14.6,0.7,1.2,31.2,27.8,99088,52953,178721,79387,(X),(X),(X),(X),37.2,(X)
